"","Date.x","County.x","State.x","FIPS.Code","Cases.x","Deaths.x","Date.y","County.y","State.y","Cases.y","Deaths.y","Date","County","State","Cases","Deaths"
"1","2020-07-01","Autauga","Alabama",1001,553,12,"2020-10-17","Autauga","Alabama",1983,28,"2021-01-11","Autauga","Alabama",4902,55
"2","2020-07-01","Baldwin","Alabama",1003,703,10,"2020-10-17","Baldwin","Alabama",6350,67,"2021-01-11","Baldwin","Alabama",15417,173
"3","2020-07-01","Barbour","Alabama",1005,326,1,"2020-10-17","Barbour","Alabama",977,9,"2021-01-11","Barbour","Alabama",1663,35
"4","2020-07-01","Bibb","Alabama",1007,174,1,"2020-10-17","Bibb","Alabama",775,13,"2021-01-11","Bibb","Alabama",2060,48
"5","2020-07-01","Blount","Alabama",1009,218,1,"2020-10-17","Blount","Alabama",1807,23,"2021-01-11","Blount","Alabama",5080,77
"6","2020-07-01","Bullock","Alabama",1011,367,10,"2020-10-17","Bullock","Alabama",634,17,"2021-01-11","Bullock","Alabama",957,28
"7","2020-07-01","Butler","Alabama",1013,607,27,"2020-10-17","Butler","Alabama",990,40,"2021-01-11","Butler","Alabama",1637,57
"8","2020-07-01","Calhoun","Alabama",1015,278,5,"2020-10-17","Calhoun","Alabama",4066,59,"2021-01-11","Calhoun","Alabama",10537,178
"9","2020-07-01","Chambers","Alabama",1017,595,27,"2020-10-17","Chambers","Alabama",1266,43,"2021-01-11","Chambers","Alabama",2651,66
"10","2020-07-01","Cherokee","Alabama",1019,77,7,"2020-10-17","Cherokee","Alabama",713,14,"2021-01-11","Cherokee","Alabama",1545,24
"11","2020-07-01","Chilton","Alabama",1021,219,3,"2020-10-17","Chilton","Alabama",1779,31,"2021-01-11","Chilton","Alabama",3277,54
"12","2020-07-01","Choctaw","Alabama",1023,193,12,"2020-10-17","Choctaw","Alabama",386,12,"2021-01-11","Choctaw","Alabama",501,22
"13","2020-07-01","Clarke","Alabama",1025,267,5,"2020-10-17","Clarke","Alabama",1259,16,"2021-01-11","Clarke","Alabama",2643,26
"14","2020-07-01","Clay","Alabama",1027,58,2,"2020-10-17","Clay","Alabama",697,12,"2021-01-11","Clay","Alabama",1233,35
"15","2020-07-01","Cleburne","Alabama",1029,29,1,"2020-10-17","Cleburne","Alabama",515,7,"2021-01-11","Cleburne","Alabama",1128,18
"16","2020-07-01","Coffee","Alabama",1031,358,2,"2020-10-17","Coffee","Alabama",1615,9,"2021-01-11","Coffee","Alabama",4181,43
"17","2020-07-01","Colbert","Alabama",1033,377,5,"2020-10-17","Colbert","Alabama",1883,27,"2021-01-11","Colbert","Alabama",5109,62
"18","2020-07-01","Conecuh","Alabama",1035,182,4,"2020-10-17","Conecuh","Alabama",554,13,"2021-01-11","Conecuh","Alabama",908,18
"19","2020-07-01","Coosa","Alabama",1037,55,1,"2020-10-17","Coosa","Alabama",196,3,"2021-01-11","Coosa","Alabama",581,10
"20","2020-07-01","Covington","Alabama",1039,317,8,"2020-10-17","Covington","Alabama",1640,29,"2021-01-11","Covington","Alabama",3177,52
"21","2020-07-01","Crenshaw","Alabama",1041,127,3,"2020-10-17","Crenshaw","Alabama",583,30,"2021-01-11","Crenshaw","Alabama",1127,38
"22","2020-07-01","Cullman","Alabama",1043,411,3,"2020-10-17","Cullman","Alabama",2212,23,"2021-01-11","Cullman","Alabama",7719,80
"23","2020-07-01","Dale","Alabama",1045,247,0,"2020-10-17","Dale","Alabama",1604,51,"2021-01-11","Dale","Alabama",3748,64
"24","2020-07-01","Dallas","Alabama",1047,826,8,"2020-10-17","Dallas","Alabama",1845,27,"2021-01-11","Dallas","Alabama",2929,45
"25","2020-07-01","DeKalb","Alabama",1049,609,5,"2020-10-17","DeKalb","Alabama",3095,26,"2021-01-11","DeKalb","Alabama",7413,63
"26","2020-07-01","Elmore","Alabama",1051,829,14,"2020-10-17","Elmore","Alabama",3074,52,"2021-01-11","Elmore","Alabama",7433,85
"27","2020-07-01","Escambia","Alabama",1053,263,6,"2020-10-17","Escambia","Alabama",1702,28,"2021-01-11","Escambia","Alabama",2997,34
"28","2020-07-01","Etowah","Alabama",1055,634,13,"2020-10-17","Etowah","Alabama",3951,49,"2021-01-11","Etowah","Alabama",11151,107
"29","2020-07-01","Fayette","Alabama",1057,70,1,"2020-10-17","Fayette","Alabama",536,12,"2021-01-11","Fayette","Alabama",1585,21
"30","2020-07-01","Franklin","Alabama",1059,856,13,"2020-10-17","Franklin","Alabama",1974,31,"2021-01-11","Franklin","Alabama",3552,39
"31","2020-07-01","Geneva","Alabama",1061,67,0,"2020-10-17","Geneva","Alabama",823,7,"2021-01-11","Geneva","Alabama",1920,23
"32","2020-07-01","Greene","Alabama",1063,166,7,"2020-10-17","Greene","Alabama",329,16,"2021-01-11","Greene","Alabama",734,20
"33","2020-07-01","Hale","Alabama",1065,298,21,"2020-10-17","Hale","Alabama",734,29,"2021-01-11","Hale","Alabama",1667,41
"34","2020-07-01","Henry","Alabama",1067,131,4,"2020-10-17","Henry","Alabama",621,6,"2021-01-11","Henry","Alabama",1442,11
"35","2020-07-01","Houston","Alabama",1069,449,6,"2020-10-17","Houston","Alabama",3599,32,"2021-01-11","Houston","Alabama",8203,72
"36","2020-07-01","Jackson","Alabama",1071,242,3,"2020-10-17","Jackson","Alabama",1964,14,"2021-01-11","Jackson","Alabama",5631,34
"37","2020-07-01","Jefferson","Alabama",1073,4436,144,"2020-10-17","Jefferson","Alabama",22194,372,"2021-01-11","Jefferson","Alabama",59248,784
"38","2020-07-01","Lamar","Alabama",1075,72,1,"2020-10-17","Lamar","Alabama",446,5,"2021-01-11","Lamar","Alabama",1146,16
"39","2020-07-01","Lauderdale","Alabama",1077,446,6,"2020-10-17","Lauderdale","Alabama",2029,40,"2021-01-11","Lauderdale","Alabama",7214,72
"40","2020-07-01","Lawrence","Alabama",1079,104,0,"2020-10-17","Lawrence","Alabama",782,30,"2021-01-11","Lawrence","Alabama",2340,44
"41","2020-07-01","Lee","Alabama",1081,1211,38,"2020-10-17","Lee","Alabama",6421,66,"2021-01-11","Lee","Alabama",11626,79
"42","2020-07-01","Limestone","Alabama",1083,413,0,"2020-10-17","Limestone","Alabama",2658,27,"2021-01-11","Limestone","Alabama",7638,60
"43","2020-07-01","Lowndes","Alabama",1085,463,21,"2020-10-17","Lowndes","Alabama",696,27,"2021-01-11","Lowndes","Alabama",1058,35
"44","2020-07-01","Macon","Alabama",1087,172,8,"2020-10-17","Macon","Alabama",527,19,"2021-01-11","Macon","Alabama",1100,35
"45","2020-07-01","Madison","Alabama",1089,1084,8,"2020-10-17","Madison","Alabama",8893,92,"2021-01-11","Madison","Alabama",25643,178
"46","2020-07-01","Marengo","Alabama",1091,287,11,"2020-10-17","Marengo","Alabama",956,21,"2021-01-11","Marengo","Alabama",1947,27
"47","2020-07-01","Marion","Alabama",1093,208,12,"2020-10-17","Marion","Alabama",1037,29,"2021-01-11","Marion","Alabama",2335,46
"48","2020-07-01","Marshall","Alabama",1095,1548,10,"2020-10-17","Marshall","Alabama",4240,48,"2021-01-11","Marshall","Alabama",9863,92
"49","2020-07-01","Mobile","Alabama",1097,3724,138,"2020-10-17","Mobile","Alabama",14217,314,"2021-01-11","Mobile","Alabama",28793,527
"50","2020-07-01","Monroe","Alabama",1099,198,2,"2020-10-17","Monroe","Alabama",624,9,"2021-01-11","Monroe","Alabama",1387,12
"51","2020-07-01","Montgomery","Alabama",1101,3890,102,"2020-10-17","Montgomery","Alabama",9584,196,"2021-01-11","Montgomery","Alabama",18176,286
"52","2020-07-01","Morgan","Alabama",1103,993,3,"2020-10-17","Morgan","Alabama",3885,32,"2021-01-11","Morgan","Alabama",11781,104
"53","2020-07-01","Perry","Alabama",1105,145,1,"2020-10-17","Perry","Alabama",577,6,"2021-01-11","Perry","Alabama",934,19
"54","2020-07-01","Pickens","Alabama",1107,212,6,"2020-10-17","Pickens","Alabama",778,17,"2021-01-11","Pickens","Alabama",1895,31
"55","2020-07-01","Pike","Alabama",1109,407,5,"2020-10-17","Pike","Alabama",1299,12,"2021-01-11","Pike","Alabama",2341,23
"56","2020-07-01","Randolph","Alabama",1111,172,9,"2020-10-17","Randolph","Alabama",781,14,"2021-01-11","Randolph","Alabama",1353,32
"57","2020-07-01","Russell","Alabama",1113,489,0,"2020-10-17","Russell","Alabama",1898,3,"2021-01-11","Russell","Alabama",3075,7
"58","2020-07-01","Shelby","Alabama",1117,1103,23,"2020-10-17","Shelby","Alabama",6955,60,"2021-01-11","Shelby","Alabama",17690,106
"59","2020-07-01","St. Clair","Alabama",1115,314,2,"2020-10-17","St. Clair","Alabama",2735,42,"2021-01-11","St. Clair","Alabama",7250,115
"60","2020-07-01","Sumter","Alabama",1119,277,12,"2020-10-17","Sumter","Alabama",464,21,"2021-01-11","Sumter","Alabama",890,26
"61","2020-07-01","Talladega","Alabama",1121,275,8,"2020-10-17","Talladega","Alabama",2529,34,"2021-01-11","Talladega","Alabama",5825,109
"62","2020-07-01","Tallapoosa","Alabama",1123,570,70,"2020-10-17","Tallapoosa","Alabama",1267,86,"2021-01-11","Tallapoosa","Alabama",2554,107
"63","2020-07-01","Tuscaloosa","Alabama",1125,2071,40,"2020-10-17","Tuscaloosa","Alabama",9782,132,"2021-01-11","Tuscaloosa","Alabama",20211,267
"64","2020-07-01","Walker","Alabama",1127,880,23,"2020-10-17","Walker","Alabama",2627,92,"2021-01-11","Walker","Alabama",5758,170
"65","2020-07-01","Washington","Alabama",1129,103,7,"2020-10-17","Washington","Alabama",614,12,"2021-01-11","Washington","Alabama",1323,26
"66","2020-07-01","Wilcox","Alabama",1131,282,8,"2020-10-17","Wilcox","Alabama",554,12,"2021-01-11","Wilcox","Alabama",977,20
"67","2020-07-01","Winston","Alabama",1133,235,3,"2020-10-17","Winston","Alabama",882,13,"2021-01-11","Winston","Alabama",2191,34
